Wavelength	PL390-MAO-Cr-Mau8
nm	Counts
638.822	1309
638.948	1319
639.074	1320
639.199	1300
639.325	1316
639.451	1322
639.577	1341
639.702	1328
639.828	1336
639.954	1344
640.079	1348
640.205	1327
640.331	1347
640.456	1317
640.582	1335
640.708	1350
640.833	1334
640.959	1359
641.084	1353
641.21	1377
641.336	1358
641.461	1369
641.587	1379
641.712	1376
641.838	1364
641.964	1385
642.089	1412
642.215	1390
642.34	1406
642.466	1384
642.592	1370
642.717	1389
642.843	1394
642.968	1402
643.094	1407
643.219	1394
643.345	1416
643.47	1390
643.596	1426
643.721	1433
643.847	1447
643.972	1434
644.098	1452
644.223	1446
644.349	1442
644.474	1460
644.6	1445
644.725	1443
644.85	1467
644.976	1460
645.101	1454
645.227	1464
645.352	1489
645.478	1466
645.603	1494
645.728	1489
645.854	1502
645.979	1501
646.105	1499
646.23	1503
646.355	1502
646.481	1517
646.606	1485
646.731	1510
646.857	1543
646.982	1540
647.107	1528
647.233	1572
647.358	1542
647.483	1564
647.609	1580
647.734	1579
647.859	1578
647.985	1587
648.11	1591
648.235	1608
648.36	1602
648.486	1593
648.611	1611
648.736	1648
648.862	1613
648.987	1631
649.112	1629
649.237	1666
649.362	1662
649.488	1673
649.613	1671
649.738	1669
649.863	1666
649.988	1688
650.114	1673
650.239	1675
650.364	1724
650.489	1738
650.614	1729
650.74	1758
650.865	1793
650.99	1771
651.115	1784
651.24	1793
651.365	1768
651.49	1799
651.615	1800
651.741	1789
651.866	1812
651.991	1862
652.116	1857
652.241	1852
652.366	1843
652.491	1861
652.616	1859
652.741	1860
652.866	1853
652.991	1885
653.116	1894
653.241	1849
653.366	1919
653.491	1901
653.616	1878
653.741	1914
653.866	1923
653.991	1924
654.116	1897
654.241	1938
654.366	1924
654.491	1939
654.616	1904
654.741	1926
654.866	1968
654.991	1964
655.116	1949
655.241	1995
655.366	1985
655.491	2036
655.616	2004
655.741	2025
655.866	2105
655.99	2125
656.115	2099
656.24	2115
656.365	2176
656.49	2141
656.615	2135
656.74	2217
656.865	2203
656.989	2241
657.114	2233
657.239	2258
657.364	2269
657.489	2355
657.614	2291
657.738	2253
657.863	2340
657.988	2323
658.113	2299
658.238	2375
658.362	2360
658.487	2376
658.612	2409
658.737	2422
658.861	2440
658.986	2476
